Name,District,Party,Hometown,SwearIn,Ref
Patrick Ryan,New York (NY) - 18th,Democrat,Gardiner,"Jan. 07, 2023",/members/R000579
Mike Ezell,Mississippi (MS) - 4th,Republican,Pascagoula,"Jan. 07, 2023",/members/E000235
Marilyn Strickland,Washington (WA) - 10th,Democrat,Tacoma,"Jan. 07, 2023",/members/S001159
Trent Kelly,Mississippi (MS) - 1st,Republican,Saltillo,"Jan. 07, 2023",/members/K000388
Scott Perry,Pennsylvania (PA) - 10th,Republican,Dillsburg,"Jan. 07, 2023",/members/P000605
Mike Carey,Ohio (OH) - 15th,Republican,Columbus,"Jan. 07, 2023",/members/C001126
Chuck Edwards,North Carolina (NC) - 11th,Republican,Flat Rock,"Jan. 07, 2023",/members/E000246
Marc A. Veasey,Texas (TX) - 33rd,Democrat,Fort Worth,"Jan. 07, 2023",/members/V000131
Robert Menendez,New Jersey (NJ) - 8th,Democrat,Jersey City,"Jan. 07, 2023",/members/M001226
Derek Kilmer,Washington (WA) - 6th,Democrat,Gig Harbor,"Jan. 07, 2023",/members/K000381
Bonnie Watson Coleman,New Jersey (NJ) - 12th,Democrat,Ewing Township,"Jan. 07, 2023",/members/W000822
Young Kim,California (CA) - 40th,Republican,La Habra,"Jan. 07, 2023",/members/K000397
Keith Self,Texas (TX) - 3rd,Republican,McKinney,"Jan. 07, 2023",/members/S001224
Mario Diaz-Balart,Florida (FL) - 26th,Republican,Miami,"Jan. 07, 2023",/members/D000600
Mary Gay Scanlon,Pennsylvania (PA) - 5th,Democrat,Swarthmore,"Jan. 07, 2023",/members/S001205
Elise M. Stefanik,New York (NY) - 21st,Republican,Schuylerville,"Jan. 07, 2023",/members/S001196
Kim Schrier,Washington (WA) - 8th,Democrat,Sammamish,"Jan. 07, 2023",/members/S001216
W. Gregory Steube,Florida (FL) - 17th,Republican,Sarasota,"Jan. 07, 2023",/members/S001214
Earl Blumenauer,Oregon (OR) - 3rd,Democrat,Portland,"Jan. 07, 2023",/members/B000574
Gerald E. Connolly,Virginia (VA) - 11th,Democrat,Fairfax,"Jan. 07, 2023",/members/C001078
Gregory F. Murphy,North Carolina (NC) - 3rd,Republican,Greenville,"Jan. 07, 2023",/members/M001210
Carol D. Miller,West Virginia (WV) - 1st,Republican,Huntington,"Jan. 07, 2023",/members/M001205
John W. Rose,Tennessee (TN) - 6th,Republican,Cookeville,"Jan. 07, 2023",/members/R000612
Pete Aguilar,California (CA) - 33rd,Democrat,Redlands,"Jan. 07, 2023",/members/A000371
Julia Letlow,Louisiana (LA) - 5th,Republican,Start,"Jan. 07, 2023",/members/L000595
Morgan Luttrell,Texas (TX) - 8th,Republican,Magnolia,"Jan. 07, 2023",/members/L000603
Michael C. Burgess,Texas (TX) - 26th,Republican,Pilot Point,"Jan. 07, 2023",/members/B001248
Sam Graves,Missouri (MO) - 6th,Republican,Tarkio,"Jan. 07, 2023",/members/G000546
Pete Sessions,Texas (TX) - 17th,Republican,Waco,"Jan. 07, 2023",/members/S000250
Maxwell Frost,Florida (FL) - 10th,Democrat,Orlando,"Jan. 07, 2023",/members/F000476
Mike Rogers,Alabama (AL) - 3rd,Republican,Weaver,"Jan. 07, 2023",/members/R000575
David N. Cicilline,Rhode Island (RI) - 1st,Democrat,Providence,"Jan. 07, 2023",/members/C001084
Becca Balint,Vermont (VT) - At Large,Democrat,Brattleboro,"Jan. 07, 2023",/members/B001318
Jonathan L. Jackson,Illinois (IL) - 1st,Democrat,Chicago,"Jan. 07, 2023",/members/J000309
David J. Trone,Maryland (MD) - 6th,Democrat,Potomac,"Jan. 07, 2023",/members/T000483
Robert J. Wittman,Virginia (VA) - 1st,Republican,Montross,"Jan. 07, 2023",/members/W000804
Nikki Budzinski,Illinois (IL) - 13th,Democrat,Springfield,"Jan. 07, 2023",/members/B001315
Hillary J. Scholten,Michigan (MI) - 3rd,Democrat,Grand Rapids,"Jan. 07, 2023",/members/S001221
Frederica S. Wilson,Florida (FL) - 24th,Democrat,Miami Gardens,"Jan. 07, 2023",/members/W000808
