Member,Vote,Party,State,Profile
"Gonzales, Tony",Not Voting,Republican,TX,/members/G000594
Gonzalez (OH),Nay,Republican,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000588
"Gonzalez, Vicente",Yea,Democratic,TX,/members/G000581
Good (VA),Not Voting,Republican,VA,/members/G000595
Gooden (TX),Not Voting,Republican,TX,/members/G000589
Gosar,Not Voting,Republican,AZ,/members/G000565
Gottheimer,Yea,Democratic,NJ,/members/G000583
Granger,Not Voting,Republican,TX,/members/G000377
Graves (LA),Nay,Republican,LA,/members/G000577
Graves (MO),Nay,Republican,MO,/members/G000546
Green (TN),Not Voting,Republican,TN,/members/G000590
"Green, Al (TX)",Yea,Democratic,TX,/members/G000553
Greene (GA),Not Voting,Republican,GA,/members/G000596
Griffith,Not Voting,Republican,VA,/members/G000568
Grijalva,Yea,Democratic,AZ,/members/G000551
Grothman,Nay,Republican,WI,/members/G000576
Guest,Not Voting,Republican,MS,/members/G000591
Guthrie,Nay,Republican,KY,/members/G000558
Hagedorn,Nay,Republican,MN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001088
Harder (CA),Yea,Democratic,CA,/members/H001090
Harris,Not Voting,Republican,MD,/members/H001052
Harshbarger,Nay,Republican,TN,/members/H001086
Hartzler,Nay,Republican,MO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001053
Hayes,Yea,Democratic,CT,/members/H001081
Hern,Not Voting,Republican,OK,/members/H001082
Herrell,Nay,Republican,NM,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001084
Herrera Beutler,Nay,Republican,WA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001056
Hice (GA),Not Voting,Republican,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001071
Higgins (LA),Not Voting,Republican,LA,/members/H001077
Higgins (NY),Yea,Democratic,NY,/members/H001038
Hill,Not Voting,Republican,AR,/members/H001072
Himes,Yea,Democratic,CT,/members/H001047
Hinson,Nay,Republican,IA,/members/H001091
Hollingsworth,Nay,Republican,IN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001074
Horsford,Yea,Democratic,NV,/members/H001066
Houlahan,Yea,Democratic,PA,/members/H001085
Hoyer,Yea,Democratic,MD,/members/H000874
Hudson,Not Voting,Republican,NC,/members/H001067
Huffman,Yea,Democratic,CA,/members/H001068
Huizenga,Not Voting,Republican,MI,/members/H001058
Issa,Not Voting,Republican,CA,/members/I000056
Jackson,Not Voting,Republican,TX,/members/J000304
Jackson Lee,Yea,Democratic,TX,/members/J000032
Jacobs (CA),Yea,Democratic,CA,/members/J000305
Jacobs (NY),Nay,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000020
Jayapal,Yea,Democratic,WA,/members/J000298
Jeffries,Yea,Democratic,NY,/members/J000294
Johnson (GA),Yea,Democratic,GA,/members/J000288
Johnson (LA),Not Voting,Republican,LA,/members/J000299
Johnson (OH),Nay,Republican,OH,/members/J000292
Johnson (SD),Nay,Republican,SD,/members/J000301
Johnson (TX),Yea,Democratic,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000126
Jones,Not Voting,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000306
Jordan,Nay,Republican,OH,/members/J000289
Joyce (OH),Not Voting,Republican,OH,/members/J000295
Joyce (PA),Nay,Republican,PA,/members/J000302
Kahele,Yea,Democratic,HI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000396
Kaptur,Yea,Democratic,OH,/members/K000009
Katko,Nay,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000386
Keating,Not Voting,Democratic,MA,/members/K000375
Keller,Nay,Republican,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000395
Kelly (IL),Yea,Democratic,IL,/members/K000385
Kelly (MS),Not Voting,Republican,MS,/members/K000388
Kelly (PA),Nay,Republican,PA,/members/K000376
Khanna,Yea,Democratic,CA,/members/K000389
Kildee,Yea,Democratic,MI,/members/K000380
Kilmer,Yea,Democratic,WA,/members/K000381
Kim (CA),Nay,Republican,CA,/members/K000397
Kim (NJ),Yea,Democratic,NJ,/members/K000394
Kind,Yea,Democratic,WI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000188
